target,category,ref_file_count,false_positive,referencing_files
BrainLift-Open Gateway Protocol OGP - AI Agent Federation,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Mental Models/Decentralization vs Centralization Tradeoffs.md
BrainLift-When AI Misclassifies,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Principles/AI Ethics Is a Human Problem Not an AI Problem.md
knowledge/BrainLift-Agentic AI.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/BrainLift-AI Browsers.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/BrainLift-AI-Augmented CICD Right-Sized Pipelines for Fast Safe Shipping.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/BrainLift-Asynchronous Coding Agents Jules.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/Andrej-Karpathy-Quotes.md
knowledge/BrainLift-Drafts - Spiky POV.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/BrainLift-Open Gateway Protocol OGP - AI Agent Federation.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/BrainLift-When AI Misclassifies.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/Framework Five Layers of No How OGPΓÇÖs Doorman Actually Works,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Mental Models/Inversion.md
"knowledge/How-To Fast, Not Fragile with AI.md",C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
"knowledge/OGP, A2A, and MCP Three Lanes, Same Highway.md",C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/Postmortem When Your AI Tools (OpenClaw) Keep Crashing.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/World-Without-End-Quotes.md
knowledge/The 15.7 Tbps DDoS That Should Scare AI Teams More Than Model Benchmarks.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
knowledge/The Algorithm that Stopped Counting.md,C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
"knowledge/Your Agent, My Agent.md",C5 Missing knowledge/ folder,1,no,David Proctor's Second Brain/Quotes/David-Proctor-Quotes.md
Service-Recovery-Paradox,C6 Missing sales/persuasion framework,4,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/meeting-prep.md; Portfolio Brain/_skills/triage.md
Accusation-Audit,C6 Missing sales/persuasion framework,3,no,Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/meeting-prep.md; Portfolio Brain/_skills/triage.md
Crucial Conversations,C6 Missing sales/persuasion framework,3,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/meeting-prep.md
The Expansion Sale,C6 Missing sales/persuasion framework,3,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/triage.md
Ethos-Logos-Pathos,C6 Missing sales/persuasion framework,2,no,Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/meeting-prep.md
Framing-Effect,C6 Missing sales/persuasion framework,2,no,Portfolio Brain/_skills/email-draft.md; Portfolio Brain/_skills/meeting-prep.md
MEDDICC Framework,C6 Missing sales/persuasion framework,2,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/triage.md
Tactical Empathy,C6 Missing sales/persuasion framework,2,no,Portfolio Brain/_skills/debrief.md; Portfolio Brain/_skills/triage.md
Anchoring,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/email-draft.md
Behavior-Design,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/debrief.md
Compounding,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/triage.md
Contract & Renewal Friction,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/competitive-intel.md
Diagnostic-Funnel,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/debrief.md
Diminishing-Returns,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/triage.md
Endowment-Effect,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/email-draft.md
Essential Account Planning,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/debrief.md
Flip the Funnel,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/debrief.md
Loss-Aversion,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/email-draft.md
Pre-Mortems,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/triage.md
Product Sentiment - Negative,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/competitive-intel.md
QBS Ladder,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/triage.md
Tactical-Empathy,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/email-draft.md
Three Pillars of Charisma,C6 Missing sales/persuasion framework,1,no,Portfolio Brain/_skills/email-draft.md
_analytics/metrics,C7 Portfolio Brain internal ref,1,yes,Portfolio Brain/INDEX.md
_analytics/queries,C7 Portfolio Brain internal ref,1,yes,Portfolio Brain/INDEX.md
_analytics/schemas,C7 Portfolio Brain internal ref,1,yes,Portfolio Brain/INDEX.md
Portfolio Brain/CLAUDE,C7 Portfolio Brain internal ref,1,no,Portfolio Brain/Company-Rules.md
Test Customer 1,C7 Portfolio Brain internal ref,1,no,Portfolio Brain/_hot_cache.md
Test Customer 1/_intelligence_summary,C7 Portfolio Brain internal ref,1,yes,Portfolio Brain/_nodes/Playbooks.md
Test Customer 2,C7 Portfolio Brain internal ref,1,no,Portfolio Brain/_hot_cache.md
Test Customer 2/_intelligence_summary,C7 Portfolio Brain internal ref,1,yes,Portfolio Brain/_nodes/Playbooks.md
Tivian,C7 Portfolio Brain internal ref,1,no,Portfolio Brain/_skills/competitive-intel.md
